Year,Quarter,PCA,Recycler Name,case_id,Site,State,Cost
2026,1,p12,ComstockMetals,405025,Brady,NV,2360.7206152114727
2026,1,p12,ComstockMetals,405553,Dodge Flat,NV,528.4456090857668
2026,1,p12,ComstockMetals,402609,"EGP Stillwater Solar PV II, LLC",NV,5547.333086939984
2026,1,p12,ComstockMetals,401086,Ft. Churchill PV,NV,1973.3394372965604
2026,1,p12,ComstockMetals,405028,Galena 2 Geothermal Power Plant,NV,5736.318127524133
2026,1,p12,ComstockMetals,400468,"Patua Acquisition Project, LLC",NV,1716.7713122014522
2026,1,p12,ComstockMetals,405021,Steamboat Hills LP,NV,80895.45409899931
2026,1,p12,ComstockMetals,405023,Steamboat II,NV,7408.602616103966
2026,1,p12,ComstockMetals,405024,Steamboat III,NV,3224.1889041965846
2026,1,p12,ComstockMetals,400029,Stillwater Facility,NV,2777.7274454468
2026,1,p12,ComstockMetals,401318,Sunshine Valley Solar,NV,7360.577038985818
2026,1,p12,ComstockMetals,405026,TS Power Plant,NV,10021.866710575197
2026,1,p12,ComstockMetals,405576,Tesla Reno GigaFactory,NV,1603.9825890902846
2026,1,p12,ComstockMetals,403308,Turquoise Liberty Solar,NV,4031.445863113558
2026,1,p12,ComstockMetals,403884,"Turquoise Nevada, LLC",NV,2443.424596765555
2026,1,p12,ComstockMetals,400035,Western 102 Power Plant,NV,14974.169201921115
2026,1,p13,WeRecycleSolar,400555,Apex Solar PV Power Project,NV,161501.1703742224
2026,1,p13,WeRecycleSolar,405385,Arrow Canyon Solar Hybrid,NV,5836.138485747433
2026,1,p13,WeRecycleSolar,401649,"Boulder Solar Power, LLC",NV,29195.272658697162
2026,1,p13,WeRecycleSolar,400086,CM48,NV,59878.94241304694
2026,1,p13,WeRecycleSolar,400363,Copper Mountain Solar 2,NV,18898.334101111785
2026,1,p13,WeRecycleSolar,403688,"Copper Mountain Solar 5, LLC",NV,11776.100609133973
2026,1,p13,WeRecycleSolar,405358,Dignity - San Martin,NV,464624.72466647276
2026,1,p13,WeRecycleSolar,405355,Dignity - Siena Campus,NV,1088819.0524578362
2026,1,p13,WeRecycleSolar,405556,Dry Lake Solar Energy Center,NV,21817.857937873952
2026,1,p13,WeRecycleSolar,405495,Gemini Solar,NV,1549.8014257733482
2026,1,p13,WeRecycleSolar,406090,IGS LAS1,NV,1521708.7545873942
2026,1,p13,WeRecycleSolar,406089,IGS VGT,NV,1060348.681421287
2026,1,p13,WeRecycleSolar,405309,IKEA Las Vegas 462,NV,3168573.6832930106
2026,1,p13,WeRecycleSolar,400545,Las Vegas WPCF Solar Plant,NV,936512.4143305926
2026,1,p13,WeRecycleSolar,400313,Moapa Southern Paiute,NV,13305.77695544667
2026,1,p13,WeRecycleSolar,400600,Mountain View Solar,NV,40559.72379638059
2026,1,p13,WeRecycleSolar,400036,Nellis Air Force Base Solar Array,NV,66555.90327170433
2026,1,p13,WeRecycleSolar,401042,Searchlight Solar,NV,76327.9599265995
2026,1,p13,WeRecycleSolar,400658,Silver State Solar Power South,NV,12178.973116491017
2026,1,p13,WeRecycleSolar,405246,"Solar Las Vegas MB 2, LLC",NV,2084978.0964018342
2026,1,p13,WeRecycleSolar,402691,"Techren Solar III, LLC",NV,38819.218088712034
2026,1,p13,WeRecycleSolar,404971,Yellow Pine Solar,NV,36905.41323385343
2026,1,p27,WeRecycleSolar,400374,"Black Mountain Solar, LLC",AZ,15780.014911537517
2026,1,p27,WeRecycleSolar,402236,Gray Hawk Solar,AZ,3532.9979420232944
2026,1,p27,WeRecycleSolar,401819,Jacobson 5 MW Solar,AZ,11401.700614921596
2026,1,p27,WeRecycleSolar,401311,Mohave Electric at Fort Mohave,AZ,34913.00502491899
2026,1,p28,WeRecycleSolar,400148,Agua Caliente Solar Project,AZ,3581.135279517799
2026,1,p28,WeRecycleSolar,400274,Arizona Western College PV,AZ,137553.34524301224
2026,1,p28,WeRecycleSolar,400240,Arlington Valley Solar Energy II,AZ,4034.4033889520415
2026,1,p28,FabTechSolar,401688,Bonnybrooke PV,AZ,6605.833917884655
2026,1,p28,WeRecycleSolar,400371,Buckeye Union HS District 201,AZ,30994.677831135104
2026,1,p28,FabTechSolar,406171,Eleven Mile Solar Center,AZ,1470.0736048175195
2026,1,p28,WeRecycleSolar,400349,Foothills Solar Plant Hybrid,AZ,41571.06480455022
